"","ID","soil","lu","field","point","depth","a","m","n","df","dmin"
"1",1,"ch","ar",10,20,20,0.00590866044682854,2.78945180857231,1.01207217357698,53.0409336173246,1.28e-05
"2",2,"ch","ar",10,20,40,0.00547387570159481,2.94687170620317,0.95941164772086,74.2194654270521,1.28e-05
"3",3,"ch","ar",10,26,20,0.00490959075635806,3.03992922869347,0.956183919993313,71.7537265725759,1.28e-05
"4",4,"ch","ar",10,26,40,0.0050577999619094,2.99163947108419,0.989952781707532,53.5625950153246,1.28e-05
"5",5,"ch","ar",10,32,20,0.00481048842614246,3.04958626055787,1.00081753423605,46.8133304478713,1.28e-05
"6",6,"ch","ar",10,32,40,0.00507854243695983,2.88502635616321,1.01663496775616,43.2301735221507,1.28e-05
"7",7,"ch","ar",10,35,20,0.00394288328012878,3.43454706245568,0.892199324586897,116.519046893921,1.28e-05
"8",8,"ch","ar",10,35,40,0.00241197823392738,4.90787130519508,0.749984112295225,1850.40846088709,1.28e-05
"9",9,"ch","ar",10,40,20,0.00313198235537675,4.37062633339666,0.729278269733442,2053.41722715506,1.28e-05
"10",10,"ch","ar",10,40,40,0.0044804995765704,3.13510344269796,0.970654264161313,54.6999351260848,1.28e-05
"11",11,"ch","ar",10,42,20,0.00319716522567262,4.49023078573427,0.816311408104756,507.972463654952,1.28e-05
"12",12,"ch","ar",10,42,40,0.00429881006358198,3.54800157858666,0.901540782158245,113.416926539765,1.28e-05
"13",13,"ch","ar",10,46,20,0.00520704236623851,2.82920367220311,1.00630364432111,47.7322004519289,1.28e-05
"14",14,"ch","ar",10,46,40,0.00525095238232545,2.81484073235388,1.00531876293905,48.3723000754333,1.28e-05
"15",15,"ch","ar",10,49,20,0.00322498037956202,4.46054951197624,0.727096277279336,2890.38702553508,1.28e-05
"16",16,"ch","ar",10,49,40,0.00469336244112184,3.4398783369518,0.882247043870101,148.579524995994,1.28e-05
"17",17,"ch","ar",10,52,20,0.00184261886164995,5.87484800419745,0.634082615386209,16047.5001018499,1.28e-05
"18",18,"ch","ar",10,52,40,0.00252123426983838,4.88668418741491,0.69041693999448,4917.40533114531,1.28e-05
"19",19,"ch","ar",11,4,20,0.00476734882471461,3.31821530367884,0.899462819519908,129.959819511817,1.28e-05
"20",20,"ch","ar",11,4,40,0.00537065926715148,3.09352611922764,0.840804814061754,299.583803884623,1.28e-05
"21",21,"ch","ar",11,6,20,0.00521563959043486,2.99590839372211,0.981409843253603,56.9825627793292,1.28e-05
"22",22,"ch","ar",11,6,40,0.00554330397818653,2.86269467767899,0.949021390541282,77.7515632749346,1.28e-05
"23",23,"ch","ar",11,7,20,0.00552493652084721,2.60175270321913,1.05085950854412,38.2078570862337,1.28e-05
"24",24,"ch","ar",11,7,40,0.00564275993407487,2.65056714928,1.03796817494982,41.0625563425175,1.28e-05
"25",25,"ch","ar",11,9,20,0.0054797557890426,2.71430369129724,1.03074600116874,43.2894453888475,1.28e-05
"26",26,"ch","ar",11,9,40,0.00541318234343937,2.97125684888809,0.936801252839771,92.5967152313416,1.28e-05
"27",27,"ch","ar",11,11,20,0.00483356057327304,3.07969684851036,0.974101228922995,58.4890159703195,1.28e-05
"28",28,"ch","ar",11,11,40,0.00567651951466642,2.46600406594139,1.10986541153443,26.5493922234077,1.28e-05
"29",29,"ch","ar",11,13,20,0.00579325400262666,2.93123371314742,0.882277052971171,177.566522876404,1.28e-05
"30",30,"ch","ar",11,13,40,0.00548790235026964,4.01993747759746,0.567006549259317,66784.4255336668,1.28e-05
"31",31,"ch","ar",11,14,20,0.000161743245787616,18.3435608086492,0.541591335138322,190671.94063195,1.28e-05
"32",32,"ch","ar",11,14,20,0.000161743245787616,18.3435608086492,0.541591335138322,190671.94063195,1.28e-05
"33",33,"ch","ar",11,14,20,0.000161743245787616,18.3435608086492,0.541591335138322,190671.94063195,1.28e-05
"34",34,"ch","ar",11,14,40,0.00203558770740147,5.63990802235388,0.621034531196057,23036.927258831,1.28e-05
"35",35,"ch","ar",11,18,20,0.00174021543047503,6.05018191753422,0.66875017592999,9400.85423457365,1.28e-05
"36",36,"ch","ar",11,18,40,0.00241820089870702,5.02371682045922,0.712504112487455,3630.62255412221,1.28e-05
"37",37,"ch","ar",11,19,20,0.00366468899141795,3.63982287676919,0.937740489542358,66.3600005311495,1.28e-05
"38",38,"ch","ar",11,19,40,0.00465742595675404,3.0326109361794,1.02544787625856,36.3718372692266,1.28e-05
"39",39,"ch","ar",219,2,20,0.00468067572937184,3.09988033454955,0.971440417451367,58.569718581008,1.28e-05
"40",40,"ch","ar",219,4,20,0.00504687563980714,2.96461060661933,0.98222665752244,56.7327456281337,1.28e-05
"41",41,"ch","ar",219,4,40,0.00554990488707644,2.75316357327408,0.995863797766659,56.9537549729696,1.28e-05
"42",42,"ch","ar",219,11,20,0.00444125006594222,3.21430632924505,1.02366858803376,36.0611423877958,1.28e-05
"43",43,"ch","ar",219,11,40,0.00478571412887884,2.94872933360002,1.09185471351387,23.185034616332,1.28e-05
"44",44,"ch","ar",219,12,20,0.00563133686221763,2.582800464226,1.08693537262198,30.1684685587868,1.28e-05
"45",45,"ch","ar",219,12,40,0.00564363661242115,2.60395529216812,1.06439602147616,35.3307766238639,1.28e-05
"46",46,"ch","ar",219,13,20,0.00599309405281754,2.504498250559,1.04297380274854,44.1278791392991,1.28e-05
"47",47,"ch","ar",219,13,40,0.00534862032743751,3.02268103232418,0.957548695035355,74.8298389776511,1.28e-05
"48",48,"ch","ar",219,14,20,0.00433769875282193,3.14641193504689,1.05376182689643,29.3269650493041,1.28e-05
"49",49,"ch","ar",219,14,40,0.0049468513999619,2.94183035741169,1.04461080332879,34.0131040523505,1.28e-05
"50",50,"ch","ar",219,15,20,0.00465206352921224,3.12536303425456,0.985941237363335,54.2182748654985,1.28e-05
"51",51,"ch","ar",219,15,40,0.00541705546616743,2.8711328816597,1.01039375571345,48.2930614560896,1.28e-05
